shop_id,shop_name,address,menus,categories,facilities,awards
b5CljX8RaoIr1XIF7XoHRA,클로즈키친,서울특별시 강남구 압구정로14길 39 1층 102호,,"이탈리아음식,이탈리아음식","콜키지 프리,자동결제,예약금 0원 결제,단체,무선인터넷,웰컴키즈존,콜키지,대관","첫 예약 할인,캐치포인트 적립"
FrNbE4OvB_iMgWYnwWqZ_w,Balkony Kitchen (발코니 키친),서울특별시 강남구 양재천로 193,,"이탈리아음식,이탈리아음식,파스타","단체,콜키지,대관",
nUBI1k0MMWeWiVeRn5QyHA,심플로우,서울특별시 강남구 테헤란로52길 16 테헤란아이파크 1층 심플로우,,"이탈리아음식,이탈리아음식,파스타","주차,단체,대기공간,무선인터넷,웰컴키즈존,콜키지,대관",
YtzRBg0y3toslMMb2VV3Iw,델스포 역삼본점,서울특별시 강남구 언주로93길 28-4 2층,,"이탈리아음식,이탈리아음식,파스타","콜키지 프리,자동결제,예약금 0원 결제,웰컴키즈존,대관,단체,무선인터넷,콜키지","모임 추천 맛집,첫 예약 할인,캐치포인트 적립"
PVKCWrDO8Xvqx8Zb-RbArQ,토파,서울특별시 강남구 도산대로68길 11 웅찬빌딩 지하 1층,,"이탈리아음식,이탈리아음식,파스타","발렛,자동결제,예약금 0원 결제,무선인터넷,전문 소믈리에,콜키지","발렌타인 맛집,화이트데이 맛집,예약 성공 보장,모임 추천 맛집,캐치포인트 적립"
cxnIhgL45YcfigiAIpV1JA,미에뜨,서울 강남구 양재천로 195 나노빌딩 1층,,"이탈리아음식,이탈리아음식,피자,파스타","주차,단체,무선인터넷,콜키지",2024 BEST
YCmyCEYSR2VY7eJRlemNkQ,이엘포레스트,서울특별시 강남구 언주로 405 202호,,"이탈리아음식,이탈리아음식,피자,파스타","단체,아기의자,무선인터넷,웰컴키즈존,콜키지,대관",강남 회식 맛집
NswAW44PmCxUpU21q26LbQ,아이수마,서울특별시 강남구 학동로56길 26 재율빌딩 1층 102호(삼성동),,"이탈리아음식,이탈리아음식,피자,파스타","콜키지 프리,예약금 0원 결제,웰컴키즈존,주차,자동결제,단체,무선인터넷,콜키지,대관","첫 예약 할인,리미티드위크,앵콜 리미티드"
gLaxvPNtP86W1RwGSPAwzg,리알토,서울특별시 강남구 삼성로149길 13 2층,,"이탈리아음식,코스요리,파인다이닝,이탈리아음식","예약금 0원 결제,발렛,무선인터넷,전문 소믈리에,콜키지,대관","Michelin Guide Selection,미쉐린가이드 서울 2025,코카-콜라 레드리본 맛집 2024 전국편,코카-콜라 레드리본 맛집 2024 서울편,2025 레드리본 전국의 맛집,모임 추천 맛집"
cjAy_NbP17irQfzaRfqoBw,CHOI. 쵸이닷,서울특별시 강남구 도산대로 457 앙스돔빌딩 3층,,"이탈리아음식,코스요리,파인다이닝,이탈리아음식","전문 소믈리에,노키즈존,레터링,발렛,단체,무선인터넷,콜키지,대관","[아옳이 유튜브] ,흑백요리사1: 최현석,9월 저장 TOP 30,Taste of Seoul,10월 저장 TOP 30,11월 저장 TOP 30,2024 BEST,12월 저장 TOP 30,1월 저장 TOP 30,2월 저장 TOP 30,3월 저장 TOP 30,4월 저장 TOP 30,5월 저장 TOP 30,국내미식여행,모임 추천 맛집,리미티드위크,앵콜 리미티드"
